Order,Family,Genus and species,Genus,Species,Author,Status ,notes,Kauai,Oahu,Molokai,Lanai,Kahoolawe,Maui,HawaiiIsland
ACARI,Acaridae,Acarus siro,Acarus,siro,"Linnaeus, 1758",adv,,,,,,,,
ACARI,Acaridae,Caloglyphus sp.,Caloglyphus,sp.,,?,,,Oa,,,,,
ACARI,Acaridae,Cosmoglyphus sp.nr. krameri,Cosmoglyphus,sp.nr. krameri,"(Berlese, 1881)",adv?,,,Oa,,,,,
ACARI,Acaridae,Histiogaster carpio,Histiogaster,carpio,"(Kramer, 1881)",adv,,,Oa,,,,,
ACARI,Acaridae,Rhizoglyphus echinopus,Rhizoglyphus,echinopus,"(Fumouze & Robin, 1868)",adv,,,,,,,Ma,Ha
ACARI,Acaridae,Rhizoglyphus phylloxerae,Rhizoglyphus,phylloxerae,"(Riley & Planchon, 1874)",adv,,Ka,Oa,,,,,
ACARI,Acaridae,Sancassania berlesei,Sancassania,berlesei,"(Michael, 1903)",adv,,,Oa,,,,,
ACARI,Acaridae,Suidasia pontifica,Suidasia,pontifica,"Oudemans, 1905",adv,,,Oa,,,,,
ACARI,Acaridae,Tyroglyphus sp.,Tyroglyphus,sp.,,?,,,,Mo,,,,
ACARI,Acaridae,Tyrophagus putrescentiae,Tyrophagus,putrescentiae,"(Schrank, 1781)",adv,,Ka,Oa,,,,Ma,Ha
ACARI,Acaridae,Tyrophagus tenuiclavus,Tyrophagus,tenuiclavus,"Zachvatkin, 1941",adv,,Ka,,,,,,
ACARI,Ameroseiidae,Afrocypholaelaps africana,Afrocypholaelaps,africana,"(Evans, 1963)",adv,,,,,,,,Ha
ACARI,Ameroseiidae,Neocypholaelaps lindquisti,Neocypholaelaps,lindquisti,"Prasad, 1968",end?,,,Oa,,,,,
ACARI,Analgesidae,Megninia columbae,Megninia,columbae,"(Buchholz, 1870)",adv,,,,,,,,
ACARI,Analgesidae,Megninia cubitalis,Megninia,cubitalis,"(Megnin, 1877)",adv,,,,,,,,
ACARI,Analgesidae,Megninia ginglymura,Megninia,ginglymura,"(Megnin, 1877)",adv,,,,,,,,
ACARI,Analgidae,Analges n.sp.,Analges,n.sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Anhemialges sp.,Anhemialges,sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Mesalgoides sp.,Mesalgoides,sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Onychalges n.sp.,Onychalges,n.sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Strelkovarius sp.,Strelkovarius,sp.,,?,,,,,,,,Ha
ACARI,Anystidae,Anystis arzilis,Anystis,arzilis,"(Banks, 1894)",adv,,,Oa,Mo,,,Ma,Ha
ACARI,Anystidae,Anystis baccarum,Anystis,baccarum,"(Linnaeus, 1758)",adv,,,,,,,,
ACARI,Aphelacaridae,Aphelacarus sp.,Aphelacarus,sp.,,?,,,,,,Kh,,
ACARI,Argasidae,Ornithodoros capensis,Ornithodoros,capensis,"Neumann, 1901",adv,,,Oa,,Ln,,,
ACARI,Argasidae,Ornithodoros denmarki,Ornithodoros,denmarki,"Kohls, Sonenshine & Clifford, 1965",adv,,,Oa,,,,,
ACARI,Argasidae,Otobius megnini,Otobius,megnini,"(Duges, 1884)",adv,,,Oa,Mo,,Kh,Ma,Ha
ACARI,Ascidae,Asca aphidioides,Asca,aphidioides,"(Linnaeus, 1758)",adv,,,Oa,,,,,Ha
